(Intercept),Found,prime_forage,scale(average_depth),trophic_level_via_fishbase,Found:scale(average_depth),df,logLik,AICc,delta,weight
-1.493052462083467,+,+,-0.09132084072252447,NA,+,10,-1014.1679535313617,2048.902917372002,0,0.293732990223245
-1.4464449469777754,+,NA,-0.10036234631936142,NA,+,6,-1018.7119770087322,2049.63823973175,0.735322359748352,0.203366542367962
-1.128786496288555,+,+,-0.10008918153393889,-0.08919527862959034,+,11,-1013.8054326371515,2050.2930358169388,1.3901184449368884,0.146585948511914
-1.56138996669124,+,+,0.10807923919897733,NA,NA,9,-1016.3563827039193,2051.1754903435713,2.2725729715693888,0.0942908988610952
-1.370021071897157,+,NA,-0.0942581999626006,-0.021775243607072683,+,7,-1018.6646956268862,2051.61583626656,2.7129188945582428,0.075657131910476
-1.2069243534169682,+,+,0.10094170045420503,-0.08678700017120855,NA,10,-1016.012018735104,2052.5910477794864,3.6881304074845502,0.0464606609945712
-1.5572575887297329,+,+,NA,NA,NA,8,-1018.4513664644953,2053.2719636982215,4.369046326219632,0.0330541787343799
-1.434399242266061,+,NA,0.10230732750358143,NA,NA,5,-1021.619249704618,2053.391171164961,4.488253792959313,0.0311415911474593
-1.079310552529476,+,+,NA,-0.11728610474739917,NA,9,-1017.8087350481233,2054.080195031979,5.177277659977335,0.0220658756767991
-1.2200971913218148,+,NA,0.10130347629111552,-0.061389410003461056,NA,6,-1021.2189407936964,2054.6521673016787,5.749249929676807,0.0165774973320089
-1.4508263434310769,+,NA,NA,NA,NA,4,-1023.5703580082958,2055.2422388592313,6.339321487229427,0.0123420288142246
-1.4466619597009862,NA,+,0.122520781130258,NA,NA,8,-1019.668681027651,2055.706592824533,6.803675452531024,0.00978483200321971
-1.2271073884152512,+,NA,NA,-0.06416895712484189,NA,5,-1023.1330449789799,2056.418761713685,7.515844341683078,0.00685342815258619
-1.161385060975157,NA,+,0.1171485118876673,-0.06929564813940207,NA,9,-1019.4470956144891,2057.3569161647106,8.453998792708717,0.00428736258487889
-1.4278901050246218,NA,+,NA,NA,NA,7,-1022.4034637608959,2059.0933725345794,10.190455162577564,0.00179938254746852
-1.0085021981332836,NA,+,NA,-0.10231550120768922,NA,8,-1021.9115788587053,2060.1923884866414,11.289471114639582,0.00103866434161248
-1.3354378164097516,NA,NA,0.12318045413518251,NA,NA,4,-1026.577975867238,2061.2574745771153,12.354557205113451,0.000609810244744371
-1.3142009930525318,NA,NA,0.12325874712431219,-0.005860788701843849,NA,5,-1026.5740958225417,2063.300863400809,14.397946028806928,0.000219522212377597
-1.3443816654630436,NA,NA,NA,NA,NA,3,-1029.4394111176457,2064.9395817289624,16.0366643569605,9.6746509976086e-05
-1.3337633589968374,NA,NA,NA,-0.002934113797392287,NA,4,-1029.4384412183624,2066.9784052793643,18.075487907362458,3.49068290014103e-05
