"","ProvCode","ProvDescr","adjacency","mean_poll_abund","aveplast","numfish","numstudies","numspecies","normalized","aveplastbin","numstudiesbin","numfishbin","normbin"
"1","AUSW","Coastal - Australia-Indonesia Coastal Province",1,22966.4589831933,1,2,1,2,2,"1","1","< 10","< 10"
"2","BPLR","Polar - Boreal Polar Province (POLR)",1,9663.71324313031,0.179824561403509,228,2,2,41,".11-.20","2-5","101-500","10-50"
"3","BRAZ","Coastal - Brazil Current Coastal Province",1,28014.49299,0.164179104477612,2680,8,21,440,".11-.20","6-10",">1500","101-500"
"4","CAMR","Coastal - Central American Coastal Province",1,18066.2597727273,1,30,1,1,30,"1","1","10-50","10-50"
"5","CARB","Trades - Caribbean Province",1,11283.5325251989,0.258605472197705,2266,2,7,586,".21-.30","2-5",">1500","501-1000"
"6","CCAL","Coastal - California Upwelling Coastal Province",1,48481.2197419355,0.0530839231547017,1978,5,16,105,"<.10","2-5",">1500","101-500"
"7","CHIL","Coastal - Chile-Peru Current Coastal Province",1,4134.78976975952,0.0467836257309941,342,2,11,16,"<.10","2-5","101-500","10-50"
"8","CHIN","Coastal - China Sea Coastal Province",1,2503439.78350515,0.393984962406015,3990,10,93,1572,".31-.40",">10",">1500",">1500"
"9","CNRY","Coastal - Canary Coastal Province (EACB)",1,67659.8609994667,0.783333333333333,120,1,1,94,".71-.80","1","101-500","51-100"
"10","EAFR","Coastal - E. Africa Coastal Province",1,68234.4388012618,0.00382995021064726,15666,1,14,60,"<.10","1",">1500","51-100"
"11","FKLD","Coastal - SW Atlantic Shelves Province",1,829.544552196532,0.337078651685393,89,2,2,30,".31-.40","2-5","51-100","10-50"
"12","GFST","Westerlies - Gulf Stream Province",0,24057.6873484848,0.0680209295167744,3249,6,19,221,"<.10","6-10",">1500","101-500"
"13","GUIA","Coastal - Guianas Coastal Province",0,12377.6520342593,0.171069182389937,795,3,52,136,".11-.20","2-5","501-1000","101-500"
"14","INDE","Coastal - E. India Coastal Province",1,110301.997101449,0.36,50,3,4,18,".31-.40","2-5","10-50","10-50"
"15","KURO","Westerlies - Kuroshio Current Province",1,177725.910295082,0.765625,64,1,1,49,".71-.80","1","51-100","10-50"
"16","MEDI","Westerlies - Mediterranean Sea, Black Sea Province",1,8335796.54279221,0.280898876404494,7743,24,71,2175,".21-.30",">10",">1500",">1500"
"17","NASE","Westerlies - N. Atlantic Subtropical Gyral Province (East) (STGE)",0,42777.1133928571,0.252604166666667,384,2,29,97,".21-.30","2-5","101-500","51-100"
"18","NECS","Coastal - NE Atlantic Shelves Province",1,35338.4870923605,0.00613132750559057,122975,16,76,754,"<.10",">10",">1500","501-1000"
"19","NPPF","Westerlies - N. Pacific Polar Front Province",0,280875.721031746,0.342525399129173,689,2,7,236,".31-.40","2-5","501-1000","101-500"
"20","NPTG","Trades - N. Pacific Tropical Gyre Province",0,351747.554111365,0.18801652892562,968,4,41,182,".11-.20","2-5","501-1000","101-500"
"21","NWCS","Coastal - NW Atlantic Shelves Province",1,10832.7485795455,0.0118964310706788,1429,1,3,17,"<.10","1","1001-1500","10-50"
"22","REDS","Coastal - Red Sea, Persian Gulf Province",1,70830.7557377049,0.146067415730337,178,1,26,26,".11-.20","1","101-500","10-50"
"23","SPSG","Westerlies - S. Pacific Subtropical Gyre Province",1,16594.8473828576,0.215777262180974,1293,5,58,279,".21-.30","2-5","1001-1500","101-500"
"24","SUND","Coastal - Sunda-Arafura Shelves Province",1,110895.20172242,0.28,150,3,17,42,".21-.30","2-5","101-500","10-50"
"25","TASM","Westerlies - Tasman Sea Province",1,28550.878372093,0.0028328611898017,353,2,23,1,"<.10","2-5","101-500","< 10"
"26","WTRA","Trades - Western Tropical Atlantic Province",0,3965.39684773973,1,1,1,1,1,"1","1",NA,"< 10"
